beta1,beta2,beta3,beta4,beta5,beta6,beta7,Low Income Solar House,Low Income Solar Apartment,Mid Income Solar House,Mid Income Solar Apartment,High Income Solar House,High Income Solar Apartment,Total Solar Panels
0.99609375,0.85546875,0.06640625,0.44140625,0.48828125,0.56640625,0.62890625,273.0,119.0,589.0,57.0,620.0,19.0,9977.0
0.99609375,0.85546875,0.06640625,0.48828125,0.15234375,0.56640625,0.62890625,275.0,81.0,589.0,53.0,553.0,15.0,9928.0
0.99609375,0.85546875,0.06640625,0.48828125,0.48828125,0.42578125,0.62890625,261.0,88.0,584.0,63.0,592.0,16.0,9958.0
0.99609375,0.85546875,0.06640625,0.48828125,0.48828125,0.56640625,0.61328125,266.0,130.0,596.0,76.0,574.0,21.0,9983.0
0.99609375,0.85546875,0.06640625,0.48828125,0.48828125,0.56640625,0.62890625,286.0,110.0,568.0,67.0,619.0,23.0,9976.0
0.26171875,0.58203125,0.54296875,0.94140625,0.65234375,0.92578125,0.11328125,266.0,130.0,596.0,76.0,574.0,21.0,9983.0
0.49609375,0.58203125,0.54296875,0.94140625,0.65234375,0.92578125,0.11328125,250.0,17.0,530.0,25.0,579.0,9.0,9772.0
0.26171875,0.35546875,0.54296875,0.94140625,0.65234375,0.92578125,0.11328125,286.0,110.0,568.0,67.0,619.0,23.0,9976.0
0.26171875,0.58203125,0.56640625,0.94140625,0.65234375,0.92578125,0.11328125,309.0,71.0,596.0,54.0,581.0,20.0,9916.0
0.26171875,0.58203125,0.54296875,0.98828125,0.65234375,0.92578125,0.11328125,300.0,108.0,598.0,66.0,577.0,25.0,9974.0
0.26171875,0.58203125,0.54296875,0.94140625,0.98828125,0.92578125,0.11328125,300.0,108.0,598.0,66.0,577.0,25.0,9974.0
0.26171875,0.58203125,0.54296875,0.94140625,0.65234375,0.06640625,0.11328125,273.0,119.0,589.0,57.0,620.0,19.0,9977.0
0.26171875,0.58203125,0.54296875,0.94140625,0.65234375,0.92578125,0.12890625,275.0,81.0,589.0,53.0,553.0,15.0,9928.0
0.26171875,0.35546875,0.56640625,0.98828125,0.98828125,0.06640625,0.12890625,261.0,88.0,584.0,63.0,592.0,16.0,9958.0
0.49609375,0.58203125,0.56640625,0.98828125,0.98828125,0.06640625,0.12890625,309.0,71.0,596.0,54.0,581.0,20.0,9916.0
0.49609375,0.35546875,0.54296875,0.98828125,0.98828125,0.06640625,0.12890625,300.0,108.0,598.0,66.0,577.0,25.0,9974.0
0.49609375,0.35546875,0.56640625,0.94140625,0.98828125,0.06640625,0.12890625,273.0,119.0,589.0,57.0,620.0,19.0,9977.0
0.49609375,0.35546875,0.56640625,0.98828125,0.65234375,0.06640625,0.12890625,275.0,81.0,589.0,53.0,553.0,15.0,9928.0
0.49609375,0.35546875,0.56640625,0.98828125,0.98828125,0.92578125,0.12890625,261.0,88.0,584.0,63.0,592.0,16.0,9958.0
0.49609375,0.35546875,0.56640625,0.98828125,0.98828125,0.06640625,0.11328125,266.0,130.0,596.0,76.0,574.0,21.0,9983.0
0.49609375,0.35546875,0.56640625,0.98828125,0.98828125,0.06640625,0.12890625,286.0,110.0,568.0,67.0,619.0,23.0,9976.0
0.38671875,0.20703125,0.91796875,0.81640625,0.52734375,0.55078125,0.73828125,275.0,81.0,589.0,53.0,553.0,15.0,9928.0
0.87109375,0.20703125,0.91796875,0.81640625,0.52734375,0.55078125,0.73828125,286.0,110.0,568.0,67.0,619.0,23.0,9976.0
0.38671875,0.98046875,0.91796875,0.81640625,0.52734375,0.55078125,0.73828125,250.0,17.0,530.0,25.0,579.0,9.0,9772.0
0.38671875,0.20703125,0.44140625,0.81640625,0.52734375,0.55078125,0.73828125,250.0,17.0,530.0,25.0,579.0,9.0,9772.0
0.38671875,0.20703125,0.91796875,0.36328125,0.52734375,0.55078125,0.73828125,266.0,130.0,596.0,76.0,574.0,21.0,9983.0
0.38671875,0.20703125,0.91796875,0.81640625,0.86328125,0.55078125,0.73828125,286.0,110.0,568.0,67.0,619.0,23.0,9976.0
0.38671875,0.20703125,0.91796875,0.81640625,0.52734375,0.69140625,0.73828125,286.0,110.0,568.0,67.0,619.0,23.0,9976.0
0.38671875,0.20703125,0.91796875,0.81640625,0.52734375,0.55078125,0.25390625,286.0,110.0,568.0,67.0,619.0,23.0,9976.0
0.38671875,0.98046875,0.44140625,0.36328125,0.86328125,0.69140625,0.25390625,286.0,110.0,568.0,67.0,619.0,23.0,9976.0
0.87109375,0.20703125,0.44140625,0.36328125,0.86328125,0.69140625,0.25390625,266.0,130.0,596.0,76.0,574.0,21.0,9983.0
0.87109375,0.98046875,0.91796875,0.36328125,0.86328125,0.69140625,0.25390625,266.0,130.0,596.0,76.0,574.0,21.0,9983.0
0.87109375,0.98046875,0.44140625,0.81640625,0.86328125,0.69140625,0.25390625,266.0,130.0,596.0,76.0,574.0,21.0,9983.0
0.87109375,0.98046875,0.44140625,0.36328125,0.52734375,0.69140625,0.25390625,266.0,130.0,596.0,76.0,574.0,21.0,9983.0
0.87109375,0.98046875,0.44140625,0.36328125,0.86328125,0.55078125,0.25390625,266.0,130.0,596.0,76.0,574.0,21.0,9983.0
0.87109375,0.98046875,0.44140625,0.36328125,0.86328125,0.69140625,0.73828125,266.0,130.0,596.0,76.0,574.0,21.0,9983.0
0.87109375,0.98046875,0.44140625,0.36328125,0.86328125,0.69140625,0.25390625,266.0,130.0,596.0,76.0,574.0,21.0,9983.0
0.88671875,0.70703125,0.41796875,0.31640625,0.02734375,0.05078125,0.23828125,266.0,130.0,596.0,76.0,574.0,21.0,9983.0
0.37109375,0.70703125,0.41796875,0.31640625,0.02734375,0.05078125,0.23828125,266.0,130.0,596.0,76.0,574.0,21.0,9983.0
0.88671875,0.48046875,0.41796875,0.31640625,0.02734375,0.05078125,0.23828125,309.0,71.0,596.0,54.0,581.0,20.0,9916.0
0.88671875,0.70703125,0.94140625,0.31640625,0.02734375,0.05078125,0.23828125,309.0,71.0,596.0,54.0,581.0,20.0,9916.0
0.88671875,0.70703125,0.41796875,0.86328125,0.02734375,0.05078125,0.23828125,300.0,108.0,598.0,66.0,577.0,25.0,9974.0
0.88671875,0.70703125,0.41796875,0.31640625,0.36328125,0.05078125,0.23828125,300.0,108.0,598.0,66.0,577.0,25.0,9974.0
0.88671875,0.70703125,0.41796875,0.31640625,0.02734375,0.19140625,0.23828125,273.0,119.0,589.0,57.0,620.0,19.0,9977.0
0.88671875,0.70703125,0.41796875,0.31640625,0.02734375,0.05078125,0.75390625,273.0,119.0,589.0,57.0,620.0,19.0,9977.0
