beta1,beta2,beta3,beta4,beta5,beta6,beta7,Low Income Solar House,Low Income Solar Apartment,Mid Income Solar House,Mid Income Solar Apartment,High Income Solar House,High Income Solar Apartment,Total Solar Panels
0.84375,0.71875,0.90625,0.84375,0.65625,0.90625,0.90625,819.0,3001.0,1934.0,1471.0,1755.0,375.0,9355.0
0.09375,0.21875,0.90625,0.84375,0.65625,0.90625,0.90625,808.0,2340.0,1903.0,1111.0,1720.0,316.0,8198.0
0.09375,0.71875,0.21875,0.84375,0.65625,0.90625,0.90625,331.0,16.0,1268.0,79.0,1464.0,57.0,3215.0
0.09375,0.71875,0.90625,0.90625,0.65625,0.90625,0.90625,784.0,2987.0,1971.0,1465.0,1739.0,397.0,9343.0
0.09375,0.71875,0.90625,0.84375,0.53125,0.90625,0.90625,331.0,16.0,1268.0,79.0,1464.0,57.0,3215.0
0.09375,0.71875,0.90625,0.84375,0.65625,0.21875,0.90625,753.0,975.0,1654.0,628.0,1709.0,156.0,5875.0
0.09375,0.71875,0.90625,0.84375,0.65625,0.90625,0.78125,808.0,2340.0,1903.0,1111.0,1720.0,316.0,8198.0
0.09375,0.71875,0.90625,0.84375,0.65625,0.90625,0.90625,808.0,2340.0,1903.0,1111.0,1720.0,316.0,8198.0
0.34375,0.71875,0.71875,0.40625,0.03125,0.71875,0.28125,327.0,21.0,1319.0,83.0,1574.0,66.0,3390.0
0.59375,0.71875,0.71875,0.40625,0.03125,0.71875,0.28125,439.0,36.0,1521.0,195.0,1573.0,93.0,3857.0
0.34375,0.21875,0.71875,0.40625,0.03125,0.71875,0.28125,439.0,36.0,1521.0,195.0,1573.0,93.0,3857.0
0.34375,0.71875,0.40625,0.40625,0.03125,0.71875,0.28125,783.0,1037.0,1548.0,606.0,1486.0,67.0,5527.0
0.34375,0.71875,0.71875,0.34375,0.03125,0.71875,0.28125,311.0,4.0,1280.0,39.0,1478.0,39.0,3151.0
0.34375,0.71875,0.71875,0.40625,0.15625,0.71875,0.28125,311.0,4.0,1280.0,39.0,1478.0,39.0,3151.0
0.34375,0.71875,0.71875,0.40625,0.03125,0.40625,0.28125,819.0,3001.0,1934.0,1471.0,1755.0,375.0,9355.0
0.34375,0.71875,0.71875,0.40625,0.03125,0.71875,0.40625,793.0,2821.0,1957.0,1346.0,1670.0,387.0,8974.0
0.34375,0.21875,0.40625,0.34375,0.15625,0.40625,0.40625,331.0,16.0,1268.0,79.0,1464.0,57.0,3215.0
0.59375,0.71875,0.40625,0.34375,0.15625,0.40625,0.40625,748.0,2328.0,1922.0,1158.0,1701.0,319.0,8176.0
